19.05.06 20:06:37	 start:21.03.08 04:30:09	 pos:328085706	 sent:215432101	 speed:--.-b/s	 host:85.108.127.105	 client:Unknown	 file:
19.05.06 20:11:59	 start:25.11.82 02:14:46	 pos:1154095169	 sent:547707437	 speed:0b/s	 host:85.108.127.105	 client:Unknown	 file:
19.05.06 20:30:59	 start:12.10.21 13:32:54	 pos:544367981	 sent:-394239	 speed:--.-b/s	 host:85.108.127.105	 client:Unknown	 file:
19.05.06 20:33:14	 start:12.10.21 13:32:54	 pos:544367981	 sent:-394239	 speed:--.-b/s	 host:85.108.127.105	 client:Unknown	 file:
19.05.06 20:37:47	 start:01.09.94 08:36:31	 pos:1277193825	 sent:656471565	 speed:1b/s	 host:85.108.127.105	 client:Unknown	 file:
19.05.06 20:41:01	 start:12.10.21 13:32:54	 pos:544367981	 sent:-394239	 speed:--.-b/s	 host:85.108.127.105	 client:Unknown	 file:
19.05.06 20:43:16	 start:01.09.94 08:36:31	 pos:1277193825	 sent:656471565	 speed:1b/s	 host:85.108.127.105	 client:Unknown	 file:
19.05.06 20:51:44	 start:08.05.73 08:56:08	 pos:1121717397	 sent:580085209	 speed:0b/s	 host:80.145.65.123	 client:Unknown	 file:
19.05.06 20:52:20	 start:05.08.27 22:24:40	 pos:1121717078	 sent:580085528	 speed:--.-b/s	 host:85.96.13.186	 client:Unknown	 file:
19.05.06 20:54:39	 start:06.05.94 12:13:21	 pos:330315978	 sent:213201829	 speed:0b/s	 host:220.238.184.59	 client:Unknown	 file:
19.05.06 20:58:35	 start:04.08.95 17:31:24	 pos:1377837679	 sent:1907793983	 speed:5b/s	 host:80.51.205.185	 client:Unknown	 file:
19.05.06 21:31:26	 start:20.06.80 02:56:42	 pos:406918042	 sent:1328372665	 speed:1b/s	 host:81.4.136.147	 client:Unknown	 file:
19.05.06 21:44:34	 start:05.05.41 17:17:39	 pos:-1909339624	 sent:-667068844	 speed:0b/s	 host:81.4.136.147	 client:Unknown	 file:
19.05.06 22:13:59	 start:20.06.80 02:56:42	 pos:406918042	 sent:-406918043	 speed:0b/s	 host:80.51.205.185	 client:BearShare 5.2.2.2	 file:rocky_3_pl.mp3
19.05.06 22:46:07	 start:07.06.08 10:48:22	 pos:843270477	 sent:-1583059874	 speed:--.-b/s	 host:85.96.13.186	 client:Unknown	 file:
19.05.06 22:53:21	 start:20.06.80 02:56:42	 pos:406918042	 sent:1328372665	 speed:1b/s	 host:85.96.13.186	 client:Unknown	 file:
19.05.06 23:01:10	 start:19.01.54 14:52:00	 pos:1174422105	 sent:1974432719	 speed:1b/s	 host:85.96.13.186	 client:Unknown	 file:
19.05.06 23:08:42	 start:19.01.54 14:52:00	 pos:1174422105	 sent:1974432719	 speed:1b/s	 host:85.96.13.186	 client:Unknown	 file:
19.05.06 23:16:15	 start:01.08.71 20:57:12	 pos:1091803822	 sent:609998784	 speed:0b/s	 host:85.96.13.186	 client:Unknown	 file:
19.05.06 23:31:54	 start:25.05.80 09:03:38	 pos:406918064	 sent:1428182460	 speed:1b/s	 host:85.96.13.186	 client:Unknown	 file:
19.05.06 23:38:31	 start:14.12.28 05:40:34	 pos:-603565878	 sent:-2059022493	 speed:--.-b/s	 host:12.165.71.97	 client:Unknown	 file:
20.05.06 00:19:27	 start:18.10.97 07:21:23	 pos:1228296502	 sent:2038788651	 speed:7b/s	 host:88.4.50.242	 client:Unknown	 file:
20.05.06 07:33:48	 start:29.08.41 10:45:22	 pos:1028345376	 sent:823648345	 speed:0b/s	 host:82.177.100.172	 client:Unknown	 file:
20.05.06 10:43:05	 start:25.11.82 02:14:51	 pos:1170872385	 sent:544933933	 speed:0b/s	 host:84.172.147.191	 client:Unknown	 file:
20.05.06 11:41:43	 start:07.07.38 07:08:13	 pos:-323290437	 sent:-384964345	 speed:0b/s	 host:86.52.143.203	 client:Unknown	 file:
20.05.06 11:42:47	 start:23.10.14 19:05:19	 pos:1213282113	 sent:-1213282114	 speed:--.-b/s	 host:86.52.143.203	 client:BearShare 5.2.3.15	 file:jorker.mp3
20.05.06 14:20:50	 start:28.08.72 22:41:20	 pos:134237772	 sent:-389257131	 speed:0b/s	 host:85.97.164.135	 client:Unknown	 file:
